"Y","GENDER","ST011Q06","ST011Q07","ST013Q01","ST034Q01","MISCED","HISCED","BELONG","HOMEPOS","ESCS","treat","distance","weights","pscore"
441.869,1,1,1.119484198,3,3,6,6,0.0248,1.9289,1.5189,1,0.115269927994916,1,0.449033225527615
547.346,1,1,2,4,4,6,6,1.5043,0.9537,1.2432,1,0.105779402560844,1,0.489671436917996
489.283,1,1,2,3,3,6,6,0.3791,1.4952,1.2149,1,0.0774705542981615,1,0.48163182648942
475.379,1,1,2,2,3,4,4,-0.3381,-0.0988,-0.995,1,0.01377593718467,1,0.502984602532802
606.77,1,1,1,5,2,6,6,-0.654,1.8241,0.7572,1,0.0914261432629585,1,0.520761306093879
502.7,1,1,2,2,3,4,4,-0.5753,-0.6155,-0.317,1,0.0229846837913671,1,0.469567914499348
487.521,1,1,2,3,3,4,4,-0.4725,0.0144,-0.5815,1,0.0201613316987163,1,0.505297363227737
500.688,1,1,1,4,4,6,6,1.398,1.472,1.2477,1,0.135870417093378,1,0.466755381032184
635.823,1,1,1,5,3,6,6,-0.3381,1.4692,1.3706,1,0.144765532339954,1,0.488111785827061
517.494,1,1,2,2,2,5,6,-1.1407,-0.107,0.7707,0,0.0489603281135008,1,0.512818310965545
436.571,1,1,1,1,3,6,6,-0.3381,0.6247,1.0603,0,0.0835708900037481,1,0.418737290253974
460.984,1,1,2,3,3,6,6,-0.7577,0.2303,1.0187,0,0.0767225979982216,1,0.48397663179446
353.819,1,1,1,2,2,5.06279285,6,-0.4979,0.4886,0.9896,0,0.0765764708443459,1,0.475996326866097
401.456,1,1,1,4,3,6,6,-0.5043,1.2547,1.1265,0,0.113709495495195,1,0.478546180722047
378.295,2,1,1,6,2,6,6,-1.1053,0.6564,0.2247,0,0.0918625181258104,1,0.58904446250319
427.995,2,1,1,4,3,6,6,-0.4725,1.327,1.6627,0,0.164698945014301,1,0.489669552113981
643.507,1,1,2,5,2,6,6,-0.6981,1.4157,1.4543,0,0.105734274060356,1,0.514086370879956
