"Y","GENDER","ST011Q06","ST011Q07","ST013Q01","ST034Q01","MISCED","HISCED","BELONG","HOMEPOS","ESCS","treat","prop.score","weights"
493.511,1,1,1,3,2,5,6,-0.5917,0.5884,0.551,0,0.0652259861666616,1
350.623,2,2,2,2,4,4,4,1.5611,-1.168,-0.9951,0,0.0139543708144807,1
541.586,1,1,1,5,4,6,6,0.6642,2.2019,1.7226,0,0.171855240974091,1
326.185,1,1,1,3,2,6,6,-0.2953,1.0218,1.4335,0,0.125940272085445,1
386.153,2,1,2,2,2,6,6,-0.9928,-0.82,0.364,0,0.0543334534311418,1
586.631,1,1,2,3,2,5,6,-0.9536,0.827,0.7214,0,0.0481173166245686,1
642.78,1,1,1,6,3,6,6,-0.5152,1.577,1.5756,0,0.176164219812607,1
584.296,1,1,1,5,3,6,6,-0.3381,1.6027,1.6677,0,0.167444494706096,1
552.836,1,1,1,4,2,6,6,-1.1407,0.7021,0.1382,0,0.0629960348092817,1
560.419,2,1,2,5,3,6,6,0.7555,1.5381,1.4373,0,0.125337859877914,1
576.708,2,0.898578744,2.137125989,3.388198768,9,4.408532604,4.844352986,3.423738451,0.994316674,0.258006365,0,0.0503892161202044,1
377.597,1,1,1,3,3,6,6,0.1313,1.6956,1.3299,0,0.111583600040843,1
347.335,2,1,1,1,9,4,4,5.151322532,-1.2835,-0.3766,0,0.0530062424788884,1
563.792,2,1,2,1,3,5,5,1.0676,-0.4649,0.2301,0,0.0414231218485214,1
390.141,2,1,1,5,4,4,4,2.5915,0.8781,0.3972,0,0.0846146236201584,1
611.608,2,1,1,6,4,4,4,2.5915,5.2563,1.9442,0,0.131918499138717,1
557.84,2,1,2,3,3,6,6,-0.3381,-0.4534,0.7054,0,0.0764431501119721,1
489.815,1,1,1,4,3,5,5,-1.0036,1.3741,0.534,0,0.0624070142423791,1
325.432,1,1,2,1,4,4,5,2.5915,-0.2447,-0.5775,0,0.0210728379772693,1
465.874,1,1,1,1,3,4,4,0.4972,-0.9693,-0.5297,0,0.0287401481914298,1
432.991,1,1,2,3,3,5,6,-0.5753,-0.5023,-0.0565,0,0.0366311256706605,1
632.238,2,1,2,4,4,3.80124726,4,1.0269,0.5931,0.5611,0,0.052129991841117,1
505.573,1,1,1,6,4,6,6,0.5423,1.2064,1.3154,0,0.172487509259522,1
499.057,2,1,1,3,3,4,4,-0.5064,-0.1038,-0.5629,0,0.031810759925206,1
540.228,2,1,2,3,4,6,6,1.0269,0.2559,0.7594,0,0.0796983751167422,1
435.497,2,1,1,5,4,6,6,2.5915,1.4384,1.3387,0,0.187690761180669,1
522.779,1,1,1.056109721,4,4,6,6,0.6642,2.1241,1.5907,0,0.141261776418729,1
494.571,1,1,1,4,3,6,6,-0.3381,0.3603,0.7978,0,0.106032923522846,1
568.058,2,1,2,5,3,6,6,-0.5152,1.07,1.3066,0,0.112145482218373,1
451.645,2,1,1,4,2,6,6,-0.9585,0.4952,0.8474,0,0.109669468395667,1
459.15,2,1,1,2,1,6,6,-2.032,-0.0388,0.7958,0,0.0824739431746552,1
440.192,1,1,1,4,3,1,5,-0.3381,1.1099,-0.0591,0,0.0241869415753834,1
534.871,1,1,1,3,3,6,6,-0.1985,1.0586,1.4264,0,0.12571359439083,1
645.432,1,1,1,4,4,6,6,2.5915,1.6345,1.2661,0,0.146945741694928,1
487.095,1,1,2,3,3,6,6,-0.3381,0.7581,1.0473,0,0.073853135189806,1
481.194,1,1,2,4,3,5,6,0.6897,1.1186,1.4278,0,0.093143967621419,1
435.377,2,1,1,3,4,6,6,-0.2387,0.5591,1.0362,0,0.114169824365317,1
504.05,2,1,1,5,4,6,6,0.9646,1.5063,1.219,0,0.154697695833929,1
435.746,2,1,1,5,2,6,6,-1.072,1.9972,0.5108,0,0.0809521424265568,1
539.07,1,1,1,5,4,6,6,2.5915,1.4003,1.3866,0,0.181484165030225,1
430.18,2,1,2,1,3,4,4,-0.5064,0.0912,-0.0987,0,0.0225049729623728,1
411.808,2,1,2,1,4,2,4,0.045,-0.4462,0.1585,0,0.0216707915358221,1
627.942,1,1,2,3,3,6,6,0.0248,1.5993,1.4184,0,0.0848735592124232,1
630.953,1,1,1,3,2,6,6,-0.8427,1.4313,1.2741,0,0.103756938076189,1
373.895,2,1,2,2,4,1,4,2.5915,-0.548,-0.8295,0,0.0137234489240167,1
681.437,2,1,2,3,3,4,4,-0.6334,-1.0614,-1.3694,0,0.0149198114348932,1
494.423,1,1,2,3,2,6,6,-0.1461,0.0832,0.9026,0,0.0755184384652395,1
480.194,2,1,1,6,4,6,6,0.6642,2.1125,1.8137,0,0.217044543618674,1
580.885,2,1,2,3,3,5,6,0.3791,-0.4252,0.1165,0,0.0473254742975277,1
546.931,2,1,1,3,4,6,6,2.5915,1.9317,1.6439,0,0.167188723374644,1
417.563,2,1,1,4,1,6,6,-3.1297,1.9149,1.3485,0,0.102810323868334,1
467.672,1,1,2,2,4,5,5,1.0269,-0.9913,0.016,0,0.0410013725647969,1
359.353,1,1,1,4,3,4,4,-0.3381,0.8518,-0.3564,1,0.0337356333329336,1
414.477,1,1,1,6,3,6,6,-0.3381,2.0433,1.3337,1,0.146463491963072,1
393.945,1,1,1,4,3,6,6,0.3645,0.715,0.4116,1,0.0842421502589543,1
499.437,1,1,1,5,3,6,6,-0.1515,0.8358,1.0552,1,0.132248359339193,1
370.727,1,1,1,3,4,6,6,0.6642,0.7902,1.0591,1,0.112046459424564,1
356.794,1,1,1,5,3,6,6,-0.3381,2.9683,1.8389,1,0.154377433468506,1
439.961,1,1,1,1,3,6,6,-0.4725,0.2704,0.8061,1,0.0738810278802392,1
488.522,1,1,1,3,3,4,4,-0.4157,1.5351,0.5146,1,0.0467260482609293,1
427.714,1,1,1,5,2,4,6,-0.8686,1.1742,1.0143,1,0.0856837784260422,1
504.268,1,1,1,4,3,6,6,-1.0036,0.9342,1.112,1,0.112308077754446,1
432.211,2,1,1,6,4,6,6,0.0398,2.02,1.4491,1,0.172386921593463,1
