Y,GENDER,ST011Q06,ST011Q07,ST013Q01,ST034Q01,MISCED,HISCED,BELONG,HOMEPOS,ESCS,treat
537.256,1,1,1,3,4,6,6,1.1245,1.1488,1.2508,1
526.282,1,1,1,3,4,6,6,0.5423,2.2595,1.659,1
511.324,1,1,1,5,4,2,2,0.6642,2.1223,0.5094,1
355.392,1,1,2,1,3,2,2,0.1561,0.6605,0.1788,1
460.663,1,1,2,1,2,4,6,-0.5917,0.8556,1.2877,1
659.142,1,1,2,2,3,5,5,0.0248,-0.1191,-0.3268,1
631.916,1,1,1,5,1,6,6,-1.3809,1.1576,1.378,1
604.963,1,1,1,5,4,6,6,2.5915,1.0298,1.5997,1
691.673,1,1,1,6,2,6,6,-0.7244,1.2516,1.6399,1
551.737,1,1,1,4,3,5,5,-0.3381,0.7689,1.0327,1
553.398,1,1,1,5,4,6,6,0.5073,1.0716,1.2224,1
536.071,1,1,1,4,4,4,4,0.0545,-0.362,0.0654,1
551.141,1,1,1,6,3,6,6,-0.3381,2.0178,0.9296,1
541.004,1,1,2,2,3,6,6,-0.3381,0.48,0.6951,1
671.98,1,1,2,3,2,6,6,-0.9585,0.315,0.8411,1
524.962,1,1,1,3,4,6,6,0.3171,1.4929,1.4599,1
568.795,1,1,1,4,4,6,6,0.6642,0.6621,0.9893,1
596.132,1,1,1,4,2,6,6,-1.1407,1.9253,1.8255,1
524.694,1,1,1,5,4,6,6,-0.3411,1.3408,1.404,1
675.76,1,1,1,6,3,6,6,0.2947,3.3818,2.2161,1
589.279,1,1,1,2,3,6,6,0.2947,0.6725,0.9725,1
558.355,1,1,1,2,1,6,6,-1.7201,1.9979,1.7488,1
523.184,1,0.874222527,1.058402496,5,4,6,6,1.5611,1.9326,1.9315,1
590.629,1,1,1,4,4,6,6,0.1985,0.3745,1.1936,1
596.3,1,1,1,4,2,5,5,-0.9214,0.6856,0.8161,1
570.705,1,1,1,5,4,6,6,0.9357,3.2608,1.8203,1
480.939,1,1,1,4,3,6,6,-0.3011,1.9627,1.6739,1
602.951,1,1,2,1,3,6,6,0.2947,0.0807,0.8376,1
484.233,1,1,2,4,4,5,5,0.2669,1.399,1.2023,1
544.858,1,1,1,3,2,6,6,-1.0301,0.0435,0.0387,1
640.24,1,1,2,2,3,4,6,-0.5753,-0.7449,-0.0857,1
563.796,1,1,2,4,2,4,6,-0.983,0.0675,0.9774,1
489.147,1,1,2,2,3,6,6,-0.3381,0.2548,0.7156,1
527.214,1,1,2,5,3,5,6,-0.0099,1.421,0.6483,1
635.841,1,1,1,5,3,6,6,-0.3381,2.1295,1.074,1
532.654,1,1,1,3,3,6,6,-0.4953,-0.0198,0.966,1
644.258,1,1,1,2,2,6,6,-1.1798,1.5705,1.5504,1
607.736,1,1,2,3,3,5,5,0.1802,-0.2164,-0.0113,1
