Y,GENDER,ST011Q06,ST011Q07,ST013Q01,ST034Q01,MISCED,HISCED,BELONG,HOMEPOS,ESCS,treat
493.174,2,1,2,1,3,5,5,-0.3381,-0.5904,-0.6219,1
517.872,2,1,2,2,4,4,6,2.5915,0.9767,1.0243,1
454.401,2,1,2,5,3,4,4,-0.3381,0.7234,-0.2589,1
474.912,2,1,2,3,3,6,6,0.2947,0.1425,0.8831,1
507.916,2,1,1,3,4,6,6,1.5611,1.2304,1.2002,1
611.26,2,1,1,6,3,4,4,-0.3381,1.3164,0.1275,1
560.43,2,1,2,2,4,2,2,2.5915,0.1631,-1.4091,1
599.475,2,1,1,4,4,6,6,1.398,0.7698,1.0929,1
588.068,2,1,2,5,4,6,6,1.0269,0.9448,1.2812,1
506.051,2,1,2,3,3,6,6,-0.3381,0.4795,1.0069,1
429.451,1,1,2,2,4,4,4,1.5611,-1.1059,-0.4973,1
638.687,1,1,2,1.04627787,3,6,6,-0.1985,-0.0335,0.6531,1
516.468,1,1,1,4,4,4,4,0.7831,0.0885,-0.9675,1
387.159,1,1,2,3,4,2,2,2.5915,0.1356,-1.068,1
686.64,1,1,2,4,3,4,6,-0.7817,1.0634,0.8082,1
560.484,1,1,1,3,2,0,2,-0.7768,0.6816,-1.1359,1
460.593,1,1,1,3,3,4,4,-0.3381,-0.3812,-0.2723,1
523.076,1,1,2,3,3,5,5,-1.0036,-0.5154,-0.4987,1
659.515,1,1,2,5,2,4,4,-0.6178,0.1952,-0.7423,1
602.034,1,1,1,6,4,4,5,0.9357,2.3534,1.5758,1
591.59,1,1,1,2,4,5,5,1.0269,-0.2819,0.194,1
461.654,1,1,2,3,3,6,6,-0.3381,0.223,1.016,1
419.598,1,1,2,3,2,4,4,-0.9585,0.0972,0.0482,1
638.539,1,1,2,2,3,6,6,0.5643,-0.508,0.3134,1
568.956,1,1,2,1,4,4,4,0.5423,-0.7602,-0.3702,1
416.375,1,1,2,6,3,6,6,-0.8913,0.6426,1.1702,1
453.399,1,1,1,3,2,1,1,-0.7244,0.1107,-1.7941,1
506.89,1,1,1,4,2,6,6,-1.3839,-0.0212,0.4096,1
428.343,1,1,1,2,1,1,1,-2.032,-0.1582,-1.6656,1
370.102,2,1,1,1,2,2,2,-0.5917,1.2104,0.0709,1
419.125,1,1,1,3,3,6,6,-0.3381,1.3246,1.2348,1
530.819,1,1,1,3,3,6,6,-0.5064,0.9627,1.1845,1
435.731,2,1,1,6,2,4,4,-0.983,1.5331,-0.4035,1
410.407,1,1,2,3,3,4,4,0.0248,-0.3168,-0.4346,1
401.747,2,1,1,3,4,6,6,2.5915,1.3519,1.1002,1
494.859,1,1,1,4,3,6,6,-0.5152,2.2426,1.5309,1
457.978,2,1,2,3,2,6,6,-0.883,0.6475,1.0687,1
530.982,2,1,1,2,4,6,6,2.5915,-0.1352,0.0991,1
388.007,1,1,1,3,3,6,6,0.0248,1.0641,1.0771,1
435.986,1,1,1,6,2,6,6,-1.5251,0.7213,0.9718,1
453.211,1,1,1,5,3,6,6,0.2947,0.8716,0.5518,1
524.92,2,1,2,5,2,6,6,-0.5917,1.0002,0.7437,1
455.763,1,1,1,4,3,6,6,-0.3381,2.2425,1.7168,1
395.694,1,1,1,1,2,2,6,-1.0597,0.7234,0.9797,1
561.243,2,1,1,6,3,4,4,-0.4494,2.3015,0.8583,1
597.966,1,1,1,6,3,6,6,0.1802,1.6506,1.024,1
524.376,1,1,1,5,3,4,6,-0.3381,0.9559,1.1613,1
464.091,1,1,1,2,3,6,6,-0.1985,1.6415,1.3513,1
381.179,1,2,2,1,4,6,6,1.5611,-4.8535,-2.5173,1
481.212,1,1,2,4,1,6,6,-0.9921,-0.1252,0.764,1
603.439,1,1,1,5,3,6,6,-0.3381,2.6919,2.0679,1
453.018,1,1,1,3,3,5,6,-0.3381,0.2277,0.6871,1
373.752,1,1,1,4,4,6,6,0.4574,1.2745,1.4024,1
405.805,1,1,2,4,1,4,6,-0.9873,1.7847,1.0733,1
453.333,1,1,1.464966395,3,1,6,6,-1.4215,0.5193,0.3471,1
652.666,1,1,1,5,3,6,6,-0.66,0.8371,1.1177,1
333.373,1,1,1,3,3,3.855545785,3.944250385,0.3645,-0.0016,-0.279546974,1
510.206,2,1,2,5,3,6,6,-0.3381,1.1155,1.4473,1
602.446,2,1,1,5,4,6,6,0.7279,2.9294,1.7213,1
566.556,2,1,2,6,3,6,6,-0.3381,0.4151,-0.2359,1
556.184,2,1,1,4,4,5,6,0.7701,1.6635,0.7395,1
497.181,2,1,2,5,4,4,6,2.5915,1.437,1.4621,1
503.923,2,1,2,3,3,6,6,-0.4838,0.3191,0.9273,1
564.348,2,1,1,4,4,6,6,0.7701,0.9292,1.1515,1
452.975,2,1,1,3,4,6,6,1.5611,2.0573,1.2768,1
560.662,2,1,1,4,4,6,6,2.5915,1.1637,1.3617,1
463.633,2,1,1,6,3,6,6,-0.082,0.1251,1.0213,1
513.042,2,1,2,1,3,5,5,-0.8021,-1.2412,-0.0346,1
503.559,2,1,2,2,3,6,6,0.2947,0.4379,0.599,1
535.965,2,1,2,3,3,6,6,0.4801,1.2674,1.2551,1
507.508,1,1,1,4,3,4,4,-0.3381,0.9769,-0.0418,1
424.577,1,1,1,5,3,6,6,-0.8021,0.4018,0.4411,1
416.918,1,1.340529179,2.12714353,1.871399178,4.655143282,3.978614255,5.594086327,0.79572755,0.329048913,0.502856818,1
