treat,Female,HOMEPOS,ESCS
0,0,-0.756197237,-0.238973086
0,0,-0.821476208,-0.95160306
0,1,0.232856289,-0.256262246
0,1,-0.199321345,-0.36133651
0,1,0.878655504,0.573252194
0,0,1.738384705,1.651876652
0,1,-0.609705055,0.831128546
0,1,0.017178678,-0.227893412
0,0,0.705434925,0.648740078
0,0,-0.838746866,0.152711628
0,1,-0.559332305,0.249263067
0,0,-0.568687245,-0.358657908
0,1,0.963775172,1.314738022
0,0,-0.281870974,-1.026238662
0,0,-3.678639148,-3.487143677
0,1,-3.194341138,-2.620981087
0,1,0.092429399,0.462455462
0,0,-1.843015018,-1.655466701
0,0,-2.722173708,-2.936203879
0,0,0.647763267,-0.99896562
0,1,1.205050364,-0.316287289
0,0,2.184234943,1.272367403
0,1,1.613583647,1.023987914
0,1,-0.997266826,-0.796731144
0,0,0.025608404,-0.917633513
0,1,0.010907785,0.044593498
0,1,0.579194646,0.946064937
0,1,0.136222851,0.506774155
0,0,1.690273588,1.354186529
0,1,0.836506877,0.680639797
0,0,1.618415319,1.42358668
0,0,1.392663157,1.65236367
0,0,1.831111685,1.516120215
0,0,-0.088192891,0.580070455
0,0,0.876085466,1.377198158
0,0,1.009007845,1.208567966
0,0,0.314480705,-1.219585048
0,0,0.306873391,0.575930797
0,0,0.840516137,1.235841008
0,1,-0.368738268,-0.321888003
0,0,-0.001082725,-0.006924403
0,1,-0.871129348,-0.359388436
0,0,-0.433503232,0.210179824
0,0,-0.33327174,0.126290869
0,0,-0.286497043,0.227712494
0,0,-0.544117679,-1.568046861
0,0,0.484617238,-0.221440416
0,1,-0.178966642,0.369556662
0,0,-0.149257,0.231486888
0,1,1.47346516,0.93279368
0,0,0.121625033,1.149395205
0,1,0.557092317,-0.472498507
0,0,-0.834840407,-0.524853007
0,0,0.051925595,-1.686027118
0,1,-1.047331171,-2.333031336
0,1,-0.320832754,0.680152778
0,1,0.280659001,-1.30968349
0,1,0.228538625,0.043741215
0,0,-0.339028625,-0.636136759
0,0,-1.294363249,-0.594009649
0,0,1.097108757,-0.853712321
0,1,-0.829494728,-1.264634269
0,1,-0.001082725,-0.006924403
0,0,-0.671899981,-1.673973408
0,0,0.378217654,-0.198063523
0,1,-0.001082725,-0.006924403
0,0,-2.459412995,-2.857793884
0,1,-1.331063396,0.150763554
0,1,0.091401383,0.784009496
