"Y","GENDER","ST011Q06","ST011Q07","ST013Q01","ST034Q01","MISCED","HISCED","BELONG","HOMEPOS","ESCS","treat","pscore"
378.295,2,1,1,6,2,6,6,-1.1053,0.6564,0.2247,0,0.0913309940638436
396.205,2,1,1.76687799,2.821525855,3,4,4,-0.4725,0.3286,-0.4757,0,0.0250950829129703
434.819,2,1,2,4,4,4,4,0.5531,0.5121,-0.1195,0,0.0399255809448682
412.695,2,1,1,1,2,4,6,-1.2461,0.3521,-0.1351,0,0.0189452253829898
391.659,2,2,1,3,4,4,4,0.3171,-1.9211,-1.4168,0,0.00589124250009312
499.428,2,1,2,1,4,4,4,2.5915,-1.0124,-0.4422,0,0.0153409572950597
419.276,2,1,2.581982119,3,3,6,6,-0.3381,-2.0352,-0.2892,0,0.0278499766172922
448.265,2,1,1,1,4,4,4,0.8589,-0.1192,-0.8372,0,0.0208829235592929
427.995,2,1,1,4,3,6,6,-0.4725,1.327,1.6627,0,0.196160500605158
462.782,2,2,1,4,3,4,4,-0.5753,-0.4631,-0.9843,0,0.00381449199628843
430.401,2,1,2,1,4,6,6,1.5043,-0.6003,-0.3404,0,0.0259447580443041
395.94,2,1,2,1,3,3.125189924,3.949952957,-0.5753,-1.8063,-1.4082,0,0.00604157877666479
550.85,2,1,2,1,4,4,4,-1.1006,-1.4454,-1.5726,0,0.00680705126136252
578.869,2,1,2,3,2,6,6,-0.9585,0.4476,0.1067,0,0.0374800275696469
351.474,2,1,2,1,3,2,2,-0.082,0.2632,-1.0207,0,0.00951479281927647
438.07,2,1,1,1,4,4,6,-0.7943,1.3852,1.2984,0,0.0723664489281241
522.813,2,1,2,1,3,4,5,0.0248,-1.0562,-0.8344,0,0.0114299006227881
376.307,2,1,2,3,4,6,6,-0.378,-0.6327,0.1849,0,0.0481145345628653
493.668,2,1,2,1,4,5,5,1.5043,-0.8337,-0.7113,0,0.0171733343892335
455.62,2,1,2,4,3,5,5,0.0248,0.0202,0.367,0,0.0563805023767441
449.793,2,1,2,2,1,2,5,-1.2082,-0.1757,-0.7381,0,0.00933926795388072
439.255,2,1,2,2,2,4,4,-0.8616,-0.3043,-0.8019,0,0.0145747633509691
426.347,2,1,2,1,4,4,4,0.7934,0.0396,0.1966,0,0.0261841137735495
495.888,2,1,2,2,4,4,4,0.5901,-0.3238,-0.7884,0,0.0192480146580942
386.758,2,1,2,2,3,6,6,-0.3627,-1.5056,0.1534,0,0.0405577996269659
553.908,2,1,1,4,4,6,6,0.3171,1.4537,1.6129,0,0.201753439832362
381.296,1,1,2,1,2,4,4,-0.7768,-1.1212,-1.1848,0,0.00849191114369847
534.154,1,1,2,1,4,2,4,0.412,-1.1676,-0.9461,0,0.00782816437952419
575.606,1,1,2,3,3,2,5,-0.8021,-1.2107,-0.8204,0,0.0119798481183325
435.906,1,1,2,3,4,4,4,0.9646,0.2687,0.1112,0,0.0367049354822843
446.974,1,1,2,2,3,4,4,-0.7104,-0.059,-0.4431,0,0.0171413075850832
390.025,1,1,2,2,3,4.038171321,3.711327336,-0.5064,-0.3712,-1.111424753,0,0.0155678280539799
355.948,1,2,2,2,3,4,4,0.1561,-2.0764,-1.5771,0,0.00675852168253408
349.193,1,1,2,1,4,4,4,0.6642,0.2197,-0.7127,0,0.0157674444687782
385.183,1,1.140556974,1.520503969,1,3,4,4,-0.2687,0.1594,-0.4004,0,0.0188999070402793
444.937,1,1,1,2,3,4,4,0.2067,0.693,0.1845,0,0.0395326010725216
643.507,1,1,2,5,2,6,6,-0.6981,1.4157,1.4543,0,0.114590086257166
518.289,1,1,2,4,4,6,6,2.5915,0.7786,1.2202,0,0.126634598155505
365.381,1,2,2,1,1,4,6,-3.1297,-2.405,-0.6412,0,0.00547109077305801
