Y,GENDER,ST011Q06,ST011Q07,ST013Q01,ST034Q01,MISCED,HISCED,BELONG,HOMEPOS,ESCS,treat
421.826,1,1,2,2,3,0,2,-0.3381,-0.8425,-1.5514,0
432.752,1,1,2,1,2,4,4,-1.1247,-0.9059,-0.6717,0
504.044,1,1,1,2,1,6,6,-1.3161,0.144,0.7183,0
359.238,1,1,1,5,4,6,6,2.5915,2.7615,1.7216,0
628.292,1,1,1,5,1,6,6,-0.5174,1.2777,1.2589,0
635.299,1,1,1,6,2,6,6,-0.7989,1.3145,1.2725,0
593.053,1,1,1,4,3,6,6,-0.3381,0.8883,1.2191,0
501.997,1,1,1,6,4,6,6,0.6642,1.8519,1.2013,0
427.718,1,1,2,5,3,4,4,1.0676,-0.1981,-0.8249,0
261.231,1,1,2,1,3,5,5,0.0371,-0.8521,-0.6354,0
464.099,1,1,1.233955102,3,2,1,1,-0.654,0.3472,-1.0253,0
536.007,1,1,1,5,3,6,6,-0.3381,2.0288,1.6589,0
645.169,1,1,1,5,3,6,6,-0.3381,0.385,0.8275,0
583.646,1,1.136316954,1,5,3,5,5,-0.4395,0.5124,0.3206,0
603.981,1,1,2,4,3,6,6,-0.4953,0.9137,1.3731,0
411.556,1,1,2,3,2,4,4,-0.6981,0.2245,0.0278,0
423.803,1,1,2,2,2,4,4,-1.1407,-0.7357,-1.2497,0
548.964,2,1,2,1,3,4,4,-0.1613,-0.4571,-0.2588,0
446.913,2,1,1,3,3,5,6,-0.3381,0.5771,-0.0317,0
547.556,1,1,1,6,2,4,4,-0.8427,1.1645,-0.0348,0
572.522,1,1,1,6,3,6,6,-0.6315,0.9798,0.7775,0
400.786,1,1,2,1,3,4,4,-0.5064,-0.7689,-0.9727,0
430.194,1,1,2,1,3,1,1,-0.3381,-0.4788,-2.0521,0
357.35,1,1,2,1,3,2,4,-0.5942,-1.4808,-0.3457,0
389.407,1,1,1,4,3,4,4,-0.3381,0.0303,0.1476,0
523.739,1,1,1,4,3,6,6,-0.082,0.951,0.6636,0
465.074,1,1,1,3,4,6,6,-0.0621,1.1072,1.1136,0
524.471,1,1,2,3,2,6,6,-0.7527,0.25,0.53,0
483.56,1,1,1,6,3,5,6,-0.1985,1.4443,1.0515,0
507.178,2,1,2,4,3,6,6,0.0248,0.4535,0.894,0
537.495,1,1,2,5,2,6,6,-0.5917,0.1725,0.3568,0
521.21,2,1,2,1,3,4,4,-0.3381,-1.0823,-0.9225,0
555.348,1,1,2,3,3,5,5,-0.8021,0.6709,0.7921,0
555.085,1,1,1,4,4,6,6,0.4232,1.9468,1.5462,0
548.449,1,1,2,4,3,4,4,-0.3381,0.1039,0.216,0
610.747,1,1,1,4,3,5,6,-0.4838,1.3331,1.2793,0
450.499,2,1,1,4,1,6,6,-2.4078,2.4323,1.6626,0
534.322,1,1,2,5,3,4,4,-0.3381,1.5056,0.4625,0
456.3,2,1,1,5,4,6,6,2.5915,0.6034,0.8045,0
475.807,2,2,1,2,3,2,2,-0.3381,-0.8249,-1.5243,0
