Y,GENDER,ST011Q06,ST011Q07,ST013Q01,ST034Q01,MISCED,HISCED,BELONG,HOMEPOS,ESCS,treat
681.564,2,1,2,1,3,4,4,-0.3381,0.4329,-0.159,0
654.236,2,1,2,5,2,4,4,-0.5917,0.1809,0.3269,0
491.501,2,1,2,2,2,4,4,-1.0199,0.1304,-0.3735,0
444.934,2,1,1,5,4,5,5,0.5423,0.6205,0.7922,0
549.108,2,1,2,3,4,6,6,1.0269,0.4655,1.103,0
652.916,2,1,1,3,3,5,5,0.0248,1.6195,0.932,0
559.749,2,1,2,4,3,6,6,-0.082,1.3287,1.2136,0
516.357,2,1,2,3,4,4,4,0.9646,0.9274,0.0847,0
467.908,2,0.840969068,1.225974223,4.728965246,4.252822187,4.968678497,5.328607374,0.588805753,0.998121926,0.117686809,0
572.744,2,1,1,3,3,4,5,-0.231,1.0564,0.0019,0
438.22,1,1,2,4,3,6,6,-0.5064,2.1034,0.7338,0
432.814,1,1,2,3,4,5,5,0.5423,0.5258,0.3648,0
580.465,1,1,1,3,3,5,5,-0.4838,1.8632,1.2076,0
470.512,1,1,2,3,2,5,6,-1.1407,0.8584,0.5862,0
545.267,1,1,2,3,2,4,4,-0.5917,1.0697,-0.3383,0
477.306,1,1,1,3,1,6,6,-2.4441,1.2227,1.4639,0
607.912,1,1,2,3,4,4,4,0.6642,0.4787,0.4157,0
472.352,1,1,2,3,2,4,4,-0.6102,-0.3315,0.0146,0
505.117,1,1,2,3,4,5,6,0.9357,0.6271,1.2037,0
630.746,1,1,1,6,3,6,6,-0.6837,1.6702,0.7192,0
444.965,1,1,1,2,3,2,4,-0.3381,-0.5045,-0.8962,0
514.508,1,1,2,3,4,6,6,1.0269,0.1789,0.3778,0
482.615,2,1,2,5,4,4,4,1.0269,1.1087,0.3166,0
504.848,2,1,1,3,3,4,6,-0.5942,1.2303,1.3841,0
579.159,2,1,2,2,4,4,4,1.1614,0.7804,-0.8166,0
493.916,2,1,2,1,1,4,4,-0.6877,-1.014,-1.1041,0
502.58,2,1,2,3,1,6,6,-1.3093,0.1299,0.2358,0
549.911,2,1,2,3,3,6,6,0.0575,0.4821,1.1504,0
570.772,2,1,2,3,4,6,6,0.3171,0.608,1.2587,0
437.666,2,1,2,1,2,6,6,-0.9214,-0.7066,-0.5056,0
383.029,2,1,2,4,4,4,6,0.2774,1.3133,0.9393,0
700.709,2,1,2,5,3,6,6,-0.3381,1.4486,1.5056,0
490.502,2,1,2,5,4,6,6,1.0269,-0.076,0.78,0
432.729,2,1,1,3,3,4,4,-0.3381,1.3829,0.5207,0
475.296,2,1,2,1,3,5,5,-0.5753,-0.2864,0.3763,0
453.762,2,1,2,4,4,4,5,0.9357,0.0087,0.1747,0
515.57,2,1,2,2,3,4,4,-0.3381,0.4448,-0.5266,0
450.35,2,1,2,2,4,4,5,1.5043,-1.1838,-0.8008,0
448.739,1,1,1.377112219,5,4,6,6,0.2628,2.4536,1.9163,0
507.977,1,1,2,1,3,6,6,-0.7577,-1.1195,-0.3887,0
494.725,1,1,2,3,2,4,4,-0.7244,-0.1294,-0.7376,0
489.556,1,1,2,3,3,5,6,0.0248,0.3727,1.0482,0
465.769,1,1,2,1,1,5,5,-1.5195,-0.0781,-0.2911,0
473.578,1,1,2,3,4,6,6,1.5043,1.2564,1.2904,0
527.737,1,1,2,2,2,4,6,-1.0536,0.1255,0.4615,0
446.583,1,1,2,1,2,6,6,-0.5917,-0.4115,0.4088,0
507.229,1,1,1,5,4,5,5,-0.0297,0.8165,0.9055,0
536.887,1,1,2,2,3,5,6,-0.6239,0.6201,1.1805,0
627.007,2,1,2,4,3,5,5,-0.3381,1.0011,0.3948,0
502.017,2,1,2,3,3,4,4,-0.3381,-0.0944,-0.8488,0
664.659,2,1,2,4,3,4,4,-0.1289,-0.1296,-0.6137,0
639.595,2,1,1,5,3,4,6,-0.3381,1.1185,1.1364,0
497.344,2,1,1,3,3,4,4,-0.5064,0.372,0.0459,0
510.854,2,1,1,2,3,6,6,-0.5456,0.6226,1.45,0
495.319,2,1,2,1,1,5,5,-1.8566,0.785,1.2246,0
551.126,2,1,2,2,4,6,6,0.6642,-0.2747,0.521,0
648.068,2,1,1,5,1,6,6,-1.8128,-0.1462,0.7956,0
358.421,2,1,1.509249908,0.580077077,3,4,4,-0.4725,0.0918,-0.6563,0
589.582,2,1,2,5,3,6,6,0.0248,0.6531,0.986,0
488.567,2,1,2,4,4,5,6,0.6642,-0.1166,0.5585,0
588.355,2,1,1,5,2,5,6,-1.2031,1.3757,1.6442,0
661.331,2,1,1,5,4,5,5,2.5915,1.7897,1.0359,0
493.309,1,1,2,2,3,6,6,-0.3381,-0.1116,0.6223,0
675.462,1,1,2,3,3,5,5,-0.7342,0.1776,0.2988,0
555.12,1,1,2,5,2,6,6,-1.1267,0.6617,1.0925,0
404.826,1,1,2,3,2,4,4,-0.8219,-0.2021,-0.971,0
756.606,1,1,1,4,4,6,6,2.5915,0.9317,1.1917,0
629.681,1,1,2,3,2,4,4,-0.978,-0.7687,-0.9726,0
439.728,1,1,2,4,4,5,6,0.1985,0.9597,1.0774,0
512.691,1,1,1,4,4,6,6,0.6642,1.48,1.0872,0
538.897,1,1,1,3,3,6,6,-0.5064,0.4137,0.898,0
551.538,1,1,1,1,2,6,6,-0.9585,0.0401,0.8227,0
505.018,1,1,1,5,4,6,6,0.3171,0.3817,0.4316,0
463.46,1,1,1,5,4,6,6,0.412,-1.2027,0.4073,0
586.419,1,1,1,3,4,6,6,0.9357,0.9716,0.3798,0
592.461,1,1,1,3,3,5,5,-0.4725,0.231,0.3804,0
621.744,1,1,1,4,1,6,6,-3.1297,0.8043,1.1035,0
371.614,1,1,2,1,4,4,4,-1.0535,-0.4324,-0.1464,0
451.139,1,1,1,4,2,2,2,-0.4348,1.0459,-0.1962,0
397.668,1,2,1,2,3,2,2,0.0327,-1.384,-1.8737,0
357.177,1,2,2,1,2,0,2,-0.9265,-1.594,-1.7242,0
414.282,1,2,2,6,1,6,6,-0.6061,-0.7909,0.5173,0
345.138,1,2,2,1,3,2.824386472,4,-0.4516,-3.4576,-1.709,0
413.562,2,1.095833928,1.857869287,-0.274197924,2,4,4,-1.4311,-2.5506,-1.8126,0
429.096,2,1,2,2,4,4,4,0.6051,-1.4292,-1.2779,0
332.923,2,1,2,2,2,6,6,-0.983,-0.2562,0.6531,0
447.321,2,2,2,3,3,2,2,0.0575,-1.2238,-1.6502,0
335.437,2,1,2,1,1,2,2,-1.1958,-1.7416,-1.8632,0
351.577,2,1,2,2,2,4,4,-1.2158,-1.175,-1.2046,0
560.128,2,1,2,2,2,4,4,-0.8219,0.0078,-0.8112,0
398.145,2,1,2,4,2,6,6,-0.6981,-1.7022,-0.9954,0
458.976,2,1,1,5,3,4,5,-0.5064,1.0792,0.9194,0
373.556,2,1,2,1,3,5.678020281,5.491348071,-0.3381,-1.3489,-0.454686872,0
